630,,account,date,description,amount,category,`
,1860,AMEX,2023-05-26,UBER EATS TORONTO,39.35,food_drink,FALSE
,3164,BMO_MASTERCARD,2023-05-26,BOM BIBIMBAP TORONTO ON,21.45,food_drink,FALSE
,3165,BMO_MASTERCARD,2023-05-26,EGG CLUB WELLESLEY TORONTO ON,9.71,food_drink,FALSE
,64,BMO_CHECKING,2023-05-25,UNIVERSITY OF B BUS/ENT,1008.91,education,FALSE
,105,BMO_CHECKING,2023-05-25,UNIVERSITY OF B BUS/ENT,1008.91,education,FALSE
,1852,AMEX,2023-05-25,RW #2499 MONTREAL,189.96,clothing_and_accessories,FALSE
,1853,AMEX,2023-05-25,SPOTIFY STOCKHOLM,5.24,subscriptions,FALSE
,1854,AMEX,2023-05-25,TIM HORTONS #2387 TORONTO,9.92,food_drink,FALSE
,1855,AMEX,2023-05-25,TIM HORTONS #2387 TORONTO,6.19,food_drink,FALSE
,3162,BMO_MASTERCARD,2023-05-25,CASH ADVANCE FEE,5,other,FALSE
,3163,BMO_MASTERCARD,2023-05-25,INDIAN BIRIYANI HOUSE TORONTO ON,16.46,food_drink,FALSE
,3161,BMO_MASTERCARD,2023-05-24,291 SPADINA AVE TORONTO ON,60,food_drink,FALSE
,62,BMO_CHECKING,2023-05-23, TF 0005191230208404641,61.99,credit_card_payment,FALSE
,63,BMO_CHECKING,2023-05-23,NEW HONG FATT B,16.17,food_drink,FALSE
,103,BMO_CHECKING,2023-05-23, TF 0005191230208404641,61.99,credit_card_payment,FALSE
,104,BMO_CHECKING,2023-05-23,NEW HONG FATT B,16.17,food_drink,FALSE
,1849,AMEX,2023-05-23,LUCKY MOOSE FOOD MART 2 TORONTO,57.86,groceries,FALSE
,1850,AMEX,2023-05-23,MANCHU WOK # 2742 20204 TORONTO,16.95,food_drink,FALSE
,1851,AMEX,2023-05-23,TIM HORTONS #2387 TORONTO,9.92,food_drink,FALSE
,3102,RBC_Chequing,2023-05-23,MISC PAYMENT,302.76,credit_card_payment,FALSE
,1847,AMEX,2023-05-22,GB HAND-PULLED NOODLES TORONTO,18.18,food_drink,FALSE
,1848,AMEX,2023-05-22,TWILIGHT CAFE 001 TORONTO,6.78,food_drink,FALSE
,3160,BMO_MASTERCARD,2023-05-22,TIGER SUGAR TORONTO ON,7.85,food_drink,FALSE
,1843,AMEX,2023-05-21,DAIRY QUEEN #12232 TORO TORONTO,4.62,food_drink,FALSE
,1844,AMEX,2023-05-21,EXOTIC BURGER Toronto,10.16,food_drink,FALSE
,1845,AMEX,2023-05-21,JOLLIBEE- YONGE STREET TORONTO,13.55,food_drink,FALSE
,1846,AMEX,2023-05-21,VIA RAIL CANADA INC. MONTREAL,327.7,transportation,FALSE
,3156,BMO_MASTERCARD,2023-05-21,DIYIJIA TORONTO ON,26.54,food_drink,FALSE
,3158,BMO_MASTERCARD,2023-05-21,BALZAC'S COFFEE - RYER TORONTO ON,7.63,food_drink,FALSE
,3159,BMO_MASTERCARD,2023-05-21,JUICY DUMPLING TORONTO ON,21.27,food_drink,FALSE
,1841,AMEX,2023-05-20,LUCKY MOOSE FOOD MART 2 TORONTO,25.49,groceries,FALSE
,1842,AMEX,2023-05-20,PAYMENT RECEIVED - THANK YOU,-302.76,credit_card_payment,FALSE
,3157,BMO_MASTERCARD,2023-05-20,TRSF FROM/DE ACCT/CPT 2503-XXXX-940,-61.99,etransfer_in,FALSE
,1838,AMEX,2023-05-19,BARONESS 001 TORONTO,14.41,food_drink,FALSE
,1839,AMEX,2023-05-19,DAVES HOT CHICKEN 21237 TORONTO,9.59,food_drink,FALSE
,1840,AMEX,2023-05-19,TWILIGHT CAFE 001 TORONTO,10.17,food_drink,FALSE
,3101,RBC_Chequing,2023-05-19,E-TRF AUTODEPOSIT,-126.17,etransfer_in,FALSE
,1837,AMEX,2023-05-18,TIM HORTONS #2387 TORONTO,9.92,food_drink,FALSE
,3099,RBC_Chequing,2023-05-18,STAFF - PAYROLL,-1592.44,income_wages,FALSE
,3100,RBC_Chequing,2023-05-18,Email Trfs,20,etransfer_out,FALSE
,1834,AMEX,2023-05-17,BUTTER BAKER 001 TORONTO,7.9,food_drink,FALSE
,1835,AMEX,2023-05-17,GYMSHARK SOLIHULL,-75.94,income_reimbursement,FALSE
,1836,AMEX,2023-05-17,UBER EATS TORONTO,30.45,food_drink,FALSE
,3189,BMO_MASTERCARD,2023-05-17,1915 LANZHOU RAMEN DT TORONTO ON,29.88,food_drink,FALSE
